iter	Passed	Remaining
0	0	924
1	1	840
2	2	803
3	3	761
4	3	738
5	4	726
6	4	707
7	5	687
8	6	675
9	6	658
10	7	647
11	7	641
12	8	639
13	8	632
14	9	632
15	10	630
16	10	622
17	11	623
18	12	626
19	12	629
20	13	632
21	14	629
22	14	629
23	15	636
24	16	633
25	16	636
26	17	643
27	18	640
28	19	636
29	19	632
30	20	630
31	20	628
32	21	625
33	22	625
34	22	624
35	23	621
36	23	620
37	24	620
38	25	618
39	25	616
40	26	614
41	26	612
42	27	613
43	28	613
44	28	612
45	29	610
46	30	610
47	30	613
48	31	612
49	32	611
50	32	609
51	33	608
52	34	607
53	34	605
54	35	604
55	35	602
56	36	599
57	36	599
58	37	599
59	38	598
60	38	596
61	39	594
62	40	595
63	40	593
64	41	591
65	41	591
66	42	592
67	43	591
68	43	592
69	44	591
70	45	590
71	45	590
72	46	589
73	47	592
74	47	591
75	48	591
76	49	589
77	50	591
78	50	590
79	51	590
80	51	589
81	52	587
82	52	583
83	53	582
84	53	580
85	54	580
86	55	580
87	56	585
88	57	587
89	58	586
90	58	587
91	59	586
92	60	586
93	60	587
94	61	589
95	62	591
96	63	590
97	64	589
98	64	589
99	65	588
100	65	586
101	66	585
102	67	585
103	67	584
104	68	582
105	68	581
106	69	579
107	70	579
108	70	579
109	71	577
110	72	577
111	72	577
112	73	576
113	74	576
114	74	576
115	75	576
116	76	575
117	76	574
118	77	573
119	78	575
120	79	576
121	79	574
122	80	573
123	81	572
124	81	572
125	82	570
126	83	570
127	83	569
128	84	568
129	84	567
130	85	565
131	85	564
132	86	563
133	86	562
134	87	560
135	88	559
136	88	558
137	89	557
138	89	556
139	90	556
140	91	555
141	91	552
142	92	551
143	92	552
144	93	552
145	94	550
146	94	549
147	95	548
148	95	547
149	96	546
150	97	546
151	98	547
152	99	548
153	99	548
154	100	547
155	100	546
156	101	545
157	102	544
158	102	544
159	103	543
160	103	541
161	104	540
162	105	539
163	105	539
164	106	538
